Id,Category
0.jpg,5
1.jpg,0
2.jpg,5
3.jpg,5
4.jpg,3
5.jpg,5
6.jpg,0
7.jpg,5
8.jpg,2
9.jpg,1
10.jpg,5
11.jpg,0
12.jpg,0
13.jpg,5
14.jpg,3
15.jpg,2
16.jpg,2
17.jpg,3
18.jpg,2
19.jpg,2
20.jpg,5
21.jpg,1
22.jpg,2
23.jpg,0
24.jpg,1
25.jpg,5
26.jpg,0
27.jpg,2
28.jpg,5
29.jpg,2
30.jpg,5
31.jpg,5
32.jpg,5
33.jpg,5
34.jpg,1
35.jpg,3
36.jpg,1
37.jpg,3
38.jpg,5
39.jpg,2
40.jpg,0
41.jpg,5
42.jpg,5
43.jpg,0
44.jpg,5
45.jpg,2
46.jpg,5
47.jpg,2
48.jpg,1
49.jpg,0
50.jpg,3
51.jpg,2
52.jpg,1
53.jpg,5
54.jpg,5
55.jpg,5
56.jpg,2
57.jpg,5
58.jpg,3
59.jpg,5
60.jpg,5
61.jpg,3
62.jpg,5
63.jpg,5
64.jpg,3
65.jpg,3
66.jpg,3
67.jpg,5
68.jpg,2
69.jpg,5
70.jpg,5
71.jpg,5
72.jpg,5
73.jpg,2
74.jpg,5
75.jpg,5
76.jpg,5
77.jpg,5
78.jpg,5
79.jpg,5
80.jpg,5
81.jpg,5
82.jpg,3
83.jpg,0
84.jpg,5
85.jpg,1
86.jpg,0
87.jpg,1
88.jpg,2
89.jpg,5
90.jpg,1
91.jpg,3
92.jpg,5
93.jpg,5
94.jpg,5
95.jpg,5
96.jpg,5
97.jpg,0
98.jpg,5
99.jpg,5
100.jpg,3
101.jpg,3
102.jpg,3
103.jpg,5
104.jpg,0
105.jpg,1
106.jpg,0
107.jpg,5
108.jpg,2
109.jpg,3
110.jpg,0
111.jpg,5
112.jpg,1
113.jpg,2
114.jpg,2
115.jpg,5
116.jpg,0
117.jpg,5
118.jpg,2
119.jpg,1
120.jpg,3
121.jpg,5
122.jpg,1
123.jpg,5
124.jpg,5
125.jpg,5
126.jpg,0
127.jpg,2
128.jpg,1
129.jpg,5
130.jpg,2
131.jpg,5
132.jpg,0
133.jpg,1
134.jpg,0
135.jpg,5
136.jpg,2
137.jpg,3
138.jpg,5
139.jpg,5
140.jpg,4
141.jpg,0
142.jpg,2
143.jpg,4
144.jpg,5
145.jpg,2
146.jpg,2
147.jpg,5
148.jpg,5
149.jpg,5
150.jpg,1
151.jpg,5
152.jpg,2
153.jpg,0
154.jpg,5
155.jpg,3
156.jpg,2
157.jpg,5
158.jpg,0
