Id,Category
0.jpg,4
1.jpg,4
2.jpg,0
3.jpg,0
4.jpg,3
5.jpg,1
6.jpg,0
7.jpg,1
8.jpg,3
9.jpg,1
10.jpg,0
11.jpg,4
12.jpg,0
13.jpg,4
14.jpg,3
15.jpg,3
16.jpg,3
17.jpg,3
18.jpg,3
19.jpg,1
20.jpg,0
21.jpg,1
22.jpg,1
23.jpg,4
24.jpg,3
25.jpg,2
26.jpg,4
27.jpg,3
28.jpg,0
29.jpg,3
30.jpg,1
31.jpg,4
32.jpg,2
33.jpg,0
34.jpg,1
35.jpg,3
36.jpg,1
37.jpg,3
38.jpg,0
39.jpg,1
40.jpg,0
41.jpg,4
42.jpg,3
43.jpg,4
44.jpg,5
45.jpg,4
46.jpg,0
47.jpg,2
48.jpg,1
49.jpg,0
50.jpg,3
51.jpg,3
52.jpg,4
53.jpg,0
54.jpg,0
55.jpg,1
56.jpg,1
57.jpg,1
58.jpg,3
59.jpg,3
60.jpg,0
61.jpg,3
62.jpg,5
63.jpg,1
64.jpg,3
65.jpg,3
66.jpg,3
67.jpg,2
68.jpg,3
69.jpg,1
70.jpg,0
71.jpg,0
72.jpg,4
73.jpg,0
74.jpg,5
75.jpg,0
76.jpg,3
77.jpg,0
78.jpg,1
79.jpg,0
80.jpg,0
81.jpg,0
82.jpg,3
83.jpg,5
84.jpg,3
85.jpg,1
86.jpg,0
87.jpg,3
88.jpg,1
89.jpg,1
90.jpg,1
91.jpg,3
92.jpg,0
93.jpg,5
94.jpg,0
95.jpg,2
96.jpg,0
97.jpg,0
98.jpg,1
99.jpg,0
100.jpg,3
101.jpg,3
102.jpg,3
103.jpg,4
104.jpg,0
105.jpg,1
106.jpg,0
107.jpg,0
108.jpg,2
109.jpg,3
110.jpg,0
111.jpg,4
112.jpg,4
113.jpg,1
114.jpg,3
115.jpg,0
116.jpg,0
117.jpg,5
118.jpg,1
119.jpg,1
120.jpg,3
121.jpg,5
122.jpg,1
123.jpg,1
124.jpg,1
125.jpg,4
126.jpg,0
127.jpg,1
128.jpg,1
129.jpg,5
130.jpg,3
131.jpg,0
132.jpg,4
133.jpg,4
134.jpg,0
135.jpg,0
136.jpg,2
137.jpg,2
138.jpg,5
139.jpg,0
140.jpg,1
141.jpg,0
142.jpg,1
143.jpg,2
144.jpg,0
145.jpg,4
146.jpg,0
147.jpg,0
148.jpg,0
149.jpg,5
150.jpg,1
151.jpg,1
152.jpg,3
153.jpg,0
154.jpg,5
155.jpg,3
156.jpg,0
157.jpg,0
158.jpg,0
159.jpg,0
160.jpg,1
161.jpg,0
162.jpg,1
163.jpg,0
164.jpg,2
165.jpg,0
166.jpg,3
167.jpg,2
168.jpg,4
169.jpg,5
170.jpg,2
171.jpg,3
172.jpg,0
173.jpg,0
174.jpg,0
175.jpg,0
176.jpg,3
177.jpg,2
178.jpg,0
179.jpg,3
180.jpg,1
181.jpg,1
182.jpg,1
183.jpg,4
